attr_name	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18
GFRA3	8.32046384588238	3.38620352673397	2.61096980540961	1.31989394257591	5.27952226653564	13.0577772646734	7.40130227078118	21.3895838279894	4.19550238857645	3.14615690746871	2.83403907526291	5.46162252098125	13.4855008810267	2.67210984523748	15.9153939417209	9.47561996574756	23.4101667322989	3.1493524273712
PCDHB2	16.6409276917648	7.90114156237927	13.054849027048	6.59946971287954	9.23916396643737	39.1733317940201	11.1019534061718	17.8246531899911	14.6842583600176	8.65193149553895	5.10127033547325	14.2002185545513	11.7998132708983	50.770087059512	13.6417662357608	11.1477881949971	9.93158588642983	12.5974097094848
GRIA1	137.287653457059	21.4459556693152	18.2767886378673	15.8387273109109	23.7578501994104	45.7022204263567	17.2697052984894	11.5860245734942	56.6392822457821	16.5173237642107	13.0365797462094	51.3392516972238	77.5416300659034	49.8793837777662	42.4410505112558	50.722436287237	41.8545405213828	31.493524273712
C5orf4	164.329160956177	1057.62423484991	139.251722955179	147.828121568502	238.898382560738	169.751104440754	146.79249503716	467.897146237267	180.406602708787	167.532855322709	766.324165951092	308.035510183343	492.220782157474	317.090368301514	482.766949565534	421.943783180641	292.272384657792	331.469342980819
CYFIP2	457.625511523531	705.459068069578	159.269158129986	134.629182142743	353.727991857888	339.502208881507	166.529301092577	359.166761778322	484.58052588058	197.421345943661	1297.42308865536	564.731768669462	1084.73997711758	373.204675051501	584.322320431754	1015.56350456424	510.767274159248	747.971201500661
C5orf40	16.6409276917648	38.376973302985	13.054849027048	6.59946971287954	9.23916396643737	32.6444431616834	7.40130227078118	18.7158858494907	14.6842583600176	8.65193149553895	23.8059282322085	36.0467086384763	40.45650264308	14.2512525079332	4.54725541192026	13.3773458339966	36.8887475781679	5.51136674789961
ODZ2	112.326261919412	39.5057078118964	195.822735405721	215.142712639873	80.5127145646685	150.164438543744	210.937114717264	49.9090289319752	142.647081211599	204.500198985466	76.5190550320987	114.694072940606	31.1852207873742	119.354239753941	32.5886637854285	36.7877010434905	67.3929042293452	77.9464725774373
FAM196B	16.6409276917648	51.9217874099209	18.2767886378673	9.23925759803135	52.7952226653564	39.1733317940201	14.8026045415624	29.4106777634854	23.0752631371705	30.6750298478199	31.1744298278921	37.1390331426725	27.8138455671175	25.8303951706289	68.9667070807906	15.0495140632461	40.4357425376072	44.8782720900396
STC2	37.4420873064707	24.8321591960491	107.920085290264	71.274272899099	55.4349837986242	104.462218117387	39.473612110833	52.5827269104739	58.7370334400703	99.1039425852643	30.6076220128395	36.0467086384763	17.6997199063475	52.5514936230037	28.799284275495	31.213806945992	23.4101667322989	25.9821575258124
HK3	16.6409276917648	142.220548122827	15.6658188324576	9.23925759803135	14.518686232973	39.1733317940201	6.16775189231765	7.12986127599646	12.5865071657294	13.371166856742	90.1224425933607	19.6618410755325	42.9850340582725	6.23492297222078	18.9468975496678	5.01650468774871	9.22218689454198	55.9010055858389
GFPT2	52.0028990367649	14.6735486158472	47.8677797658428	31.6774546218218	30.3572530325799	58.7599976910301	72.7794723293483	31.1931430824845	29.3685167200352	132.138590113686	11.9029641161042	15.2925430587475	20.22825132154	22.2675820436456	7.5787590198671	7.80345173649799	43.2733385051585	9.44805728211361
BTNL8	2.0801159614706	76.7539466059701	3.48129307387948	3.95968182772772	6.59940283316955	19.58666589701	7.40130227078118	5.34739595699734	14.6842583600176	2.35961768060153	24.9395438623136	4.369298016785	5.05706283038501	6.23492297222078	4.54725541192026	3.901725868249	19.1537727809718	11.0227334957992
BTNL9	197.611016339707	237.034246871378	127.067197196601	58.0753334733399	161.025429129337	117.51999538206	111.019534061718	327.973618695837	65.030287022935	127.419354752483	75.3854394019935	171.494947158811	214.925170291363	32.9560214245955	173.553581554957	94.1988102477258	236.93926329054	79.5211487911229
IRF4	33.2818553835295	320.560600530816	64.4039218667703	31.6774546218218	101.630803630811	110.991106749724	56.7433174093224	91.7969639284544	65.030287022935	119.553962483811	923.329930720658	157.29472860426	92.7128185570584	54.3329001864953	50.0198095311229	76.9197385454802	86.5466770103171	422.800563374584
SERPINB1	56.1631309597061	918.789890253818	88.7729733839267	84.4732123248581	88.431997964472	104.462218117387	88.8156272493742	147.053388817427	60.8347846343586	158.88092382717	732.88250486299	173.679596167204	219.982233121748	94.4145478650575	162.185443025156	102.559651393974	144.007995353233	447.995382793554
F13A1	324.498089989413	741.57857235474	288.947325131997	806.45519891388	980.671261008996	737.764415454045	888.156272493742	733.484478768136	492.971530657733	2923.5663062653	405.267587762597	412.898662586183	769.516394023585	362.516235670551	1056.47900736947	1047.33470091998	1574.15636299913	482.638259494637
C6orf114	29.1216234605883	15.8022831247585	9.57355595316856	3.95968182772772	9.23916396643737	13.0577772646734	14.8026045415624	17.8246531899911	16.7820095543058	11.0115491761405	13.603387561262	6.5539470251775	16.0140322962192	7.1256262539666	8.33663492185381	5.01650468774871	19.1537727809718	8.66071917527081
GMPR	14.5608117302942	188.498662988191	11.3142024901083	22.4381970237904	23.7578501994104	6.52888863233668	32.0723098400518	18.7158858494907	16.7820095543058	13.371166856742	131.499413092199	19.6618410755325	31.1852207873742	48.0979772142746	50.7776854331096	12.2625670144968	26.2477626998503	29.9188480600264
GPLD1	31.2017394220589	63.2091324990342	7.83290941622882	14.518833368335	21.1180890661426	26.1155545293467	7.40130227078118	15.1509552114925	14.6842583600176	3.14615690746871	18.1378500816827	10.9232450419625	27.8138455671175	8.90703281745825	15.9153939417209	8.36084114624785	7.80338891076629	13.3847478163276
FAM65B	87.364870381765	459.394945126909	39.1645470811441	125.389924544711	236.25862142747	182.808881705427	148.026045415624	404.619627412799	100.692057325835	92.8116287703269	470.450486493644	121.248019965784	178.682886673604	148.747448051553	226.604894694026	116.49438663772	255.383637079624	222.02934612967
